"Source System","Source Object","Source Field","Transformation Logic","Data Validation","Follow Up","Comment","Derived?","Must Exist in Source Data?","Mapping Required?","Mapped?","OBJECT","Target Field Name","Label","Type",Length,"Custom?","Unique?","Default","Calculated?","Formula","Picklist Values","Createable","Updateable","Nillable","Reference To","Relationship Name","Last Modified Date","Last Modified By","output","filename","Script Step","Script Source","Script Target","Script Name","set_filename","Script Usernames","Script Passwords","Script URLs","Migration Field"
,,,,,,,,,"tbd","no","OpportunitySplit","AccountManagerIsCurrentUser__c","AccountManagerIsCurrentUser","double",0,"true","false",,"true","IF( $User.FirstName + "" "" + $User.LastName = TEXT(Opportunity.AccountManager__c), 1, 0 )",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","AppSec_Split_ACV__c","AppSec Split ACV","currency",0,"true","false",,"true","Opportunity.AppSec_ACV_Formula__c  *  SplitPercentage",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","CaseSafeID_OPSplit__c","CaseSafeID","string",1300,"true","false",,"true","CASESAFEID(Id)",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Commission_Close_Date__c","Commission Close Date","date",0,"true","false",,"true","IF(CONTAINS( Sales_Team__c , 'Renewal'), Opportunity.Commission_Close_Date__c, Opportunity.CloseDate )",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Commission_Type__c","Commission Type","string",1300,"true","false",,"true","IF( CONTAINS(Deal_Owner__r.UserRole.Name, 'Renewal'), 'Renewal', 'Field')",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Commissionable_Bookings__c","Commissionable Bookings","percent",0,"true","false",,"false",,,"true","true","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Commissionable_Bookings_Amount__c","Commissionable Bookings Amount","currency",0,"true","false",,"true","Commissionable_Bookings__c * Opportunity.Amount",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","CreatedById","Created By ID","reference",18,"false","false",,"false",,,"false","false","false","User","CreatedBy",,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","CreatedDate","Created Date","datetime",0,"false","false",,"false",,,"false","false","false",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","DataSec_Split_ACV__c","DataSec Split ACV","currency",0,"true","false",,"true","Opportunity.DataSec_ACV_Formula__c  *  SplitPercentage",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
