"activateable","associateEntityType","associateParentEntity","createable","custom","customSetting","deepCloneable","deletable","deprecatedAndHidden","feedEnabled","hasSubtypes","idEnabled","isInterface","isSubtype","keyPrefix","label","labelPlural","layoutable","mergeable","mruEnabled","name","queryable","replicateable","retrieveable","searchable","triggerable","undeletable","updateable"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Accepted Event Relation","Accepted Event Relations","false","false","false","AcceptedEventRelation","true","false","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","true","false","true",,"false","001","Account","Accounts","true","true","true","Account","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Account Change Event","Account Change Event","false","false","false","AccountChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","02Z","Account Contact Role","Account Contact Roles","false","false","false","AccountContactRole","true","true","true","false","false","false","true"
"false",,,"false","false","false",,"true","false","false","false","true",,"false",,"Account Feed","Account Feed","false","false","false","AccountFeed","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Account History","Account History","false","false","false","AccountHistory","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","00I","Account Partner","Account Partner","false","false","false","AccountPartner","true","false","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","00r","Account Share","Account Share","false","false","false","AccountShare","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Account Tag","Account Tag","false","false","false","AccountTag","true","false","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","01M","Account Team Member","Account Team","true","false","false","AccountTeamMember","true","true","true","false","true","false","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Account Follower","Change Event: Account Follower","false","false","false","Account_Follower__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Account Follower","Tag: Account Follower","false","false","false","Account_Follower__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","aGw","Account Follower","Account Followers","true","false","false","Account_Follower__c","true","true","true","false","true","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","07g","Action Link Group Template","Action Link Group Templates","true","false","true","ActionLinkGroupTemplate","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","07l","Action Link Template","Action Link Templates","true","false","false","ActionLinkTemplate","true","false","true","false","false","false","true"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Activity History","Activity History","false","false","false","ActivityHistory","false","false","false","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","04m","Additional Directory Number","Additional Directory Numbers","false","false","false","AdditionalNumber","true","true","true","false","false","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","130","Address","Addresses","true","false","false","Address","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Aggregate Result","Aggregate Result","false","false","false","AggregateResult","false","false","false","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Data Category Selection: Alarm","Data Category Selection: Alarm","false","false","false","Alarm__DataCategorySelection","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Version History: Alarm","Version History: Alarm","false","false","false","Alarm__VersionHistory","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"View Stat: Alarm","View Stat: Alarm","false","false","false","Alarm__ViewStat","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Vote Stat: Alarm","Vote Stat: Alarm","false","false","false","Alarm__VoteStat","true","false","true","false","false","false","false"
"false",,,"false","true","false",,"false","false","false","false","true",,"false","kA5","Alarm","Alarms","true","false","true","Alarm__ka","true","false","true","false","false","false","false"
"false",,,"false","true","false",,"false","false","false","false","true",,"false","ka5","Alarm","Alarms","true","false","true","Alarm__kav","true","false","true","true","true","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Analyst Group","Change Event: Analyst Group","false","false","false","Analyst_Group__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Analyst Group","Tag: Analyst Group","false","false","false","Analyst_Group__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a1K","Analyst Group","Analyst Groups","true","false","true","Analyst_Group__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Analyst Note","Change Event: Analyst Note","false","false","false","Analyst_Note__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Analyst Note","Tag: Analyst Note","false","false","false","Analyst_Note__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a1M","Analyst Note","Analyst Notes","true","false","false","Analyst_Note__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Analyst","Change Event: Analyst","false","false","false","Analyst__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"false","false","false",,"true","false","false","false","true",,"false",,"Feed: Analyst","Feed: Analyst","false","false","false","Analyst__Feed","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Analyst","Tag: Analyst","false","false","false","Analyst__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","true","false","true",,"false","a1L","Analyst","Analysts","true","false","true","Analyst__c","true","true","true","true","true","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0Bt","Announcement","Announcements","false","false","false","Announcement","true","true","true","false","false","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","01p","Apex Class","Apex Classes","false","false","true","ApexClass","true","true","true","true","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","099","Visualforce Component","Visualforce Components","false","false","true","ApexComponent","true","true","true","true","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","06j","Apex Email Notification","Apex Email Notifications","false","false","false","ApexEmailNotification","true","false","true","false","false","false","true"
"false",,,"false","false","false",,"true","false","false","false","true",,"false","07L","Apex Debug Log","Apex Debug Log","false","false","false","ApexLog","true","false","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","066","Visualforce Page","Visualforce Pages","false","false","true","ApexPage","true","true","true","true","false","false","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false","4ve","Apex Page Info","Apex Pages Info","false","false","false","ApexPageInfo","true","false","false","false","false","false","false"
"false",,,"true","false","false",,"false","false","false","false","true",,"false","709","Apex Test Queue Item","Apex Test Queue Items","false","false","false","ApexTestQueueItem","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","07M","Apex Test Result","Apex Test Results","false","false","false","ApexTestResult","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","05n","Apex Test Result Limit","Apex Test Result Limit","false","false","false","ApexTestResultLimits","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","05m","Apex Test Run Result","Apex Test Run Result","false","false","false","ApexTestRunResult","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","05F","Apex Test Suite","Apex Test Suites","false","false","false","ApexTestSuite","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","01q","Apex Trigger","Apex Triggers","false","false","true","ApexTrigger","true","true","true","true","false","false","true"
"false",,,"false","false","false",,"true","false","false","false","true",,"false","0DS","AppMenuItem","AppMenuItems","false","false","false","AppMenuItem","true","false","true","false","false","false","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Appliance","Change Event: Appliance","false","false","false","Appliance__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"History: Appliance","History: Appliance","false","false","false","Appliance__History","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Share: Appliance","Share: Appliance","false","false","false","Appliance__Share","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Appliance","Tag: Appliance","false","false","false","Appliance__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a00","Appliance","Appliances","true","false","true","Appliance__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","806","Approval","Approval","false","false","false","Approval","true","true","true","false","false","false","false"
"false",,,"false","true","false",,"false","false","false","false","true",,"false","m05","AptsCustomPricingCallbackTest","AptsCustomPricingCallbackTest","true","false","true","AptsCustomPricingCallbackTest__mdt","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Archive Log","Change Event: Archive Log","false","false","false","Archive_Log__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Archive Log","Tag: Archive Log","false","false","false","Archive_Log__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a8J","Archive Log","Archive Logs","true","false","false","Archive_Log__c","true","true","true","false","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Archive Rule","Change Event: Archive Rule","false","false","false","Archive_Rule__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Archive Rule","Tag: Archive Rule","false","false","false","Archive_Rule__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a8K","Archive Rule","Archive Rules","true","false","true","Archive_Rule__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Area","Change Event: Area","false","false","false","Area__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"History: Area","History: Area","false","false","false","Area__History","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Area","Tag: Area","false","false","false","Area__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a6x","Area","Areas","true","false","true","Area__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Arena Conversion Table","Change Event: Arena Conversion Table","false","false","false","Arena_Conversion_Table__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"History: Arena Conversion Table","History: Arena Conversion Table","false","false","false","Arena_Conversion_Table__History","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Arena Conversion Table","Tag: Arena Conversion Table","false","false","false","Arena_Conversion_Table__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a0V","Arena Conversion Table","Arena Conversion Tables","true","false","true","Arena_Conversion_Table__c","true","true","true","true","true","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","02i","Asset","Assets","true","false","true","Asset","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Asset Change Event","Asset Change Event","false","false","false","AssetChangeEvent","false","false","true","false","true","false","false"
"false",,,"false","false","false",,"true","false","false","false","true",,"false",,"Asset Feed","Asset Feed","false","false","false","AssetFeed","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Asset History","Asset History","false","false","false","AssetHistory","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","1AR","Asset Relationship","Asset Relationships","true","false","true","AssetRelationship","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"true","false","false","false","true",,"false",,"Asset Relationship Feed","Asset Relationship Feed","false","false","false","AssetRelationshipFeed","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Asset Relationship History","Asset Relationship History","false","false","false","AssetRelationshipHistory","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Asset Tag","Asset Tag","false","false","false","AssetTag","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false","0Li","Asset Token Event","Asset Token Events","false","false","false","AssetTokenEvent","false","false","false","false","true","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","01Q","Assignment Rule","Assignment Rules","false","false","false","AssignmentRule","true","false","true","true","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0Kt","Associated Location","Associated Locations","true","false","true","AssociatedLocation","true","true","true","false","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Associated Location History","Associated Location History","false","false","false","AssociatedLocationHistory","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","707","Apex Job","Apex Jobs","false","false","false","AsyncApexJob","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Attached Content Document","Attached Content Documents","false","false","false","AttachedContentDocument","false","false","false","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Note","Notes","false","false","false","AttachedContentNote","false","false","false","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","00P","Attachment","Attachments","false","false","false","Attachment","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Attribute/Feature Set","Change Event: Attribute/Feature Set","false","false","false","Attribute_Feature_Set__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"History: Attribute/Feature Set","History: Attribute/Feature Set","false","false","false","Attribute_Feature_Set__History","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Attribute/Feature Set","Tag: Attribute/Feature Set","false","false","false","Attribute_Feature_Set__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","aJS","Attribute/Feature Set","Attribute/Feature Sets","true","false","true","Attribute_Feature_Set__c","true","true","true","true","true","true","true"
"false",,,"false","true","false",,"false","false","false","false","true",,"false","m1T","Attribute Value","Attribute Values","true","false","true","Attribute_Value__mdt","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Attribute Values","Change Event: Attribute Values","false","false","false","Attribute_Values__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"History: Attribute Values","History: Attribute Values","false","false","false","Attribute_Values__History","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Attribute Values","Tag: Attribute Values","false","false","false","Attribute_Values__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","aJT","Attribute Values","Attribute Values","true","false","true","Attribute_Values__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Attribute","Change Event: Attribute","false","false","false","Attribute__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"History: Attribute","History: Attribute","false","false","false","Attribute__History","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Share: Attribute","Share: Attribute","false","false","false","Attribute__Share","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Attribute","Tag: Attribute","false","false","false","Attribute__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","aJU","Attribute","Attributes","true","false","true","Attribute__c","true","true","true","true","true","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0Ad","Lightning Component Definition","Lightning Component Definitions","false","false","false","AuraDefinition","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0Ab","Aura Component Bundle","Aura Component Bundles","false","false","false","AuraDefinitionBundle","true","false","true","false","false","false","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false","0ab","AuraDefinitionBundle Info","AuraDefinitionBundle Infos","false","false","false","AuraDefinitionBundleInfo","true","false","false","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false","0ad","AuraDefinition Info","AuraDefinition Infos","false","false","false","AuraDefinitionInfo","true","false","false","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","07T","Authentication Configuration","Authentication Configurations","false","false","false","AuthConfig","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","07U","Authentication Configuration Auth. Provider","Authentication Configuration Auth. Providers","false","false","false","AuthConfigProviders","true","false","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0SO","Auth. Provider","Auth. Providers","false","false","false","AuthProvider","true","false","true","false","false","false","true"
"false",,,"false","false","false",,"true","false","false","false","true",,"false","0Ak","Auth Session","Auth Sessions","false","false","false","AuthSession","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Automation History","Change Event: Automation History","false","false","false","Automation_History__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Share: Automation History","Share: Automation History","false","false","false","Automation_History__Share","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Automation History","Tag: Automation History","false","false","false","Automation_History__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","aEx","Automation History","Automation History","true","false","false","Automation_History__c","true","true","true","false","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","08P","Background Operation","Background Operations","true","false","false","BackgroundOperation","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","06q","Background Operation Result","Background Operation Result","false","false","false","BackgroundOperationResult","true","false","false","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Batch Queue","Change Event: Batch Queue","false","false","false","BatchQueue__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Batch Queue","Tag: Batch Queue","false","false","false","BatchQueue__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a17","Batch Queue","Batch Queue","true","false","false","BatchQueue__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Blog Entry","Change Event: Blog Entry","false","false","false","Blog_Entry__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Blog Entry","Tag: Blog Entry","false","false","false","Blog_Entry__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a0U","Blog Entry","Blog Entries","true","false","false","Blog_Entry__c","true","true","true","true","true","true","true"
"false",,,"false","true","false",,"false","false","false","false","true",,"false","m1a","Box JWT","Box JWT","true","false","true","Box_JWT__mdt","true","false","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","016","Letterhead","Letterheads","false","false","false","BrandTemplate","true","true","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0Lw","Branding Set","Branding Sets","false","false","false","BrandingSet","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0Ly","Branding Set Property","Branding Set Properties","false","false","false","BrandingSetProperty","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"false","false","false","false","true",,"false","01m","Business Hours","Business Hours","true","false","true","BusinessHours","true","true","true","true","false","false","true"
"false",,,"true","false","false",,"false","false","false","false","true",,"false","019","Business Process","Business Process","false","false","false","BusinessProcess","true","true","true","false","false","false","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: C2S Connector","Change Event: C2S Connector","false","false","false","C2S_Connector__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Share: C2S Connector","Share: C2S Connector","false","false","false","C2S_Connector__Share","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: C2S Connector","Tag: C2S Connector","false","false","false","C2S_Connector__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a09","C2S Connector","C2S Connectors","true","false","false","C2S_Connector__c","true","true","true","true","true","true","true"
"false",,,"false","true","false",,"false","false","false","false","true",,"false","m06","CDS Lead Conversion","CDS Lead Conversion","true","false","true","CDS_Lead_Conversion__mdt","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Create PDF Credential","Change Event: Create PDF Credential","false","false","false","CPDF_Credential__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Share: Create PDF Credential","Share: Create PDF Credential","false","false","false","CPDF_Credential__Share","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Create PDF Credential","Tag: Create PDF Credential","false","false","false","CPDF_Credential__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a04","Create PDF Credential","Create PDF Credentials","true","false","false","CPDF_Credential__c","true","true","true","true","true","true","true"
"false",,,"true","false","false",,"false","false","false","false","true",,"false","04v","Call Center","Call Centers","false","false","false","CallCenter","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","701","Campaign","Campaigns","true","false","true","Campaign","true","true","true","true","true","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Campaign Change Event","Campaign Change Event","false","false","false","CampaignChangeEvent","false","false","true","false","true","false","false"
"false",,,"false","false","false",,"true","false","false","false","true",,"false",,"Campaign Feed","Campaign Feed","false","false","false","CampaignFeed","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Campaign Field History","Campaign Field History","false","false","false","CampaignHistory","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","03V","Campaign Influence Model","Campaign Influence Models","false","false","false","CampaignInfluenceModel","true","false","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","00v","Campaign Member","Campaign Members","true","false","false","CampaignMember","true","true","true","false","true","false","true"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","01Y","Campaign Member Status","Campaign Member Statuses","true","false","false","CampaignMemberStatus","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","08s","Campaign Share","Campaign Share","false","false","false","CampaignShare","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Campaign Tag","Campaign Tag","false","false","false","CampaignTag","true","false","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","true","false","true",,"false","500","Case","Cases","true","false","true","Case","true","true","true","true","true","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0gv","Case Article","Case Article","false","false","false","CaseArticle","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Case Change Event","Case Change Event","false","false","false","CaseChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","00a","Case Comment","Case Comments","true","false","false","CaseComment","true","true","true","true","true","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","03j","Case Contact Role","Case Contact Role","false","false","false","CaseContactRole","true","true","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","1OZ","Case External Document","Case External Documents","false","false","false","CaseExternalDocument","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"true","false","false","false","true",,"false",,"Case Feed","Case Feed","false","false","false","CaseFeed","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Case History","Case History","false","false","false","CaseHistory","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","555","Case Milestone","Case Milestones","true","false","false","CaseMilestone","true","false","true","false","false","false","true"
"false",,,"false","true","false",,"false","false","false","false","true",,"false","m1S","Case Product Queue Mapping","Case Product Queue Mappings","true","false","true","CaseProductQueueMapping__mdt","true","false","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","01n","Case Share","Case Share","false","false","false","CaseShare","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","010","Case Solution","Case Solution","false","false","false","CaseSolution","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Case Status Value","Case Status Value","false","false","false","CaseStatus","true","false","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0Oi","Case Subject Particle","Case Subject Particles","false","false","false","CaseSubjectParticle","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Case Tag","Case Tag","false","false","false","CaseTag","true","false","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Case Team Member","Case Team Member","false","false","false","CaseTeamMember","true","true","true","false","false","false","true"
"false",,,"true","false","false",,"false","false","false","false","true",,"false",,"Case Team Member Role","Case Team Member Role","false","false","false","CaseTeamRole","true","true","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Predefined Case Team","Predefined Case Team","false","false","false","CaseTeamTemplate","true","true","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Predefined Case Team Member","Predefined Case Team Member","false","false","false","CaseTeamTemplateMember","true","true","true","false","false","false","true"
